seed,day,day_label,slot,lambda,pc,p1,p2,p3,p4,edge_avg_wait,edge_E_avg_wait,edge_C_avg_wait,cloud_avg_wait,coord_avg_wait,edge_L,span_seconds,replication
979525952,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3696453736870017,0.559063851279898,0.15856716219146388,0.7968832932566802,0.6407770053576572,0.814072119243594,14399.0,54
979525952,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5184570390841932,0.7048404131940361,0.3115592486658859,0.8094398583220112,0.6562345224110864,1.8734161916487653,14399.0,54
979525952,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41054717114368416,0.5978526770559273,0.20186804632597594,0.8067054335780084,0.6575020501982961,1.163183720673501,14399.0,54
979525952,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3763477053964199,0.5644029820301273,0.16761196611572704,0.7926577433234299,0.6239202149842735,0.8861251653625128,14399.0,54
435406078,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.33807497516186885,0.5275062988876328,0.12745608887772897,0.8047093164638504,0.608467406049915,0.5306502197120215,14399.0,55
435406078,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.43864643015462135,0.626189228452759,0.2300939676639615,0.7963547437818919,0.6521666013113401,1.367483825488631,14399.0,55
435406078,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37313019657200225,0.5608786193108584,0.16384920808318854,0.7993157753935138,0.6192595392361289,0.8203992564256559,14399.0,55
435406078,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5221212891638056,0.7082961872140324,0.31526789371896824,0.8071280206002531,0.6607602511854267,1.8746181267581374,14399.0,55
435406078,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4122406527572995,0.6018090133746803,0.20095236382810194,0.8120743966603472,0.6193127365534657,1.1571597126984186,14399.0,55
435406078,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3870122817817047,0.5764463962098976,0.17567738540961758,0.7952660307263986,0.6456247389175499,0.915320734500726,14399.0,55
435406078,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.33589882926737635,0.5246160436342039,0.12593190793874867,0.7903301088208171,0.6260765966784432,0.5256481922273624,14399.0,55
435406078,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.44545883245977863,0.6338310800699111,0.2370330100726854,0.7967336832755777,0.6571548942490181,1.4018078072378284,14399.0,55
