seed,edge_avg_wait,cloud_avg_wait,coord_avg_wait,edge_avg_delay,cloud_avg_delay,coord_avg_delay,edge_E_avg_delay,edge_E_avg_response,edge_C_avg_delay,edge_C_avg_response,edge_L,edge_Lq,cloud_L,cloud_Lq,coord_L,coord_Lq,edge_utilization,coord_utilization,cloud_avg_busy_servers,edge_E_utilization,edge_C_utilization,edge_E_L,edge_E_Lq,edge_C_L,edge_C_Lq,edge_throughput,cloud_throughput,coord_throughput,edge_service_time_mean,cloud_service_time_mean,coord_service_time_mean,count_E,count_E_P1,count_E_P2,count_E_P3,count_E_P4,count_C,E_utilization,C_utilization
219975467,1.7964363058576498,0.7956841851674222,0.6921035507688085,1.409681745350967,6.562616466205633e-15,0.25339953904801377,1.4067864233075054,1.9078842963547138,1.4169487158117542,1.5167129304556668,3.479145091139646,2.730120354623705,0.4390425669420772,3.621120078656594e-15,0.5766141961547049,0.21111547737594447,0.749024736515941,0.36549871877876045,0.4390425669420772,0.693976844773556,0.055047891742384704,2.6422533309226877,1.9482764861491313,0.8368917602168778,0.7818438684744932,1.9366927064406225,0.5517799337053519,0.8331328390299187,0.38675456050668283,0.7956841851674157,0.4387040117207947,71983,24051,29896,12073,5963,47674,0.693976844773556,0.055047891742384704
1886822367,1.740391534434904,0.803986771111987,0.6864954869977746,1.3546749149245298,-7.774436168517802e-15,0.24601209346371028,1.348647901811386,1.8485016734497102,1.369758863205325,1.4698217322978562,3.367655214644491,2.6212940887896,0.4441438848893883,-4.2948073361136244e-15,0.569890730688367,0.2042256859041277,0.7463611258548912,0.3656650447842394,0.4441438848893883,0.6910837095978284,0.05527741625707008,2.5556862149871886,1.8646025053893605,0.8119689996574462,0.7566915834003761,1.9349986184217747,0.552426856818921,0.8301449047839327,0.3857166195103741,0.8039867711119948,0.44048339353406435,71725,23844,29798,12071,6012,47730,0.6910837095978284,0.05527741625707008
1403933718,1.7464506643086954,0.8000768712949606,0.6830638588631762,1.3612650774826427,8.862311344925e-15,0.24722124615051472,1.3580627622857024,1.856921659892972,1.3692851897458882,1.4697790277134037,3.373095993929899,2.6291482910860915,0.4409418953459238,4.884236130025881e-15,0.5663636635530144,0.20498395407858014,0.7439477028438076,0.3613797094744342,0.4409418953459238,0.6885630954719477,0.05538460737186618,2.5630648913300647,1.8745017958581167,0.8100311025997776,0.7546464952279114,1.9314006761622926,0.5511244121233494,0.8291518519155938,0.3851855868260527,0.8000768712949519,0.4358426127126615,71640,23923,29903,11896,5918,47618,0.6885630954719477,0.05538460737186618
327679533,1.774277242270837,0.8001480702569265,0.6773162510093511,1.3891658639112747,7.001381688821805e-15,0.24201271316621256,1.3860979505142128,1.8853018736101037,1.3968215926589649,1.4972242906959299,3.4313163464596497,2.686540425149005,0.4427009177888279,3.873680653177175e-15,0.5603951787880054,0.2002354992393022,0.7447759213106446,0.36015967954870315,0.4427009177888279,0.6892257447599883,0.05555017655065605,2.602941459029212,1.9137157142692238,0.8283748874305021,0.7728247108798462,1.9339234391960214,0.5532737430044382,0.8273759531871449,0.38511137835956216,0.8001480702569195,0.4353035378431385,71487,23778,29804,11921,5984,47804,0.6892257447599883,0.05555017655065605
984429999,1.7784387393021024,0.7957017828515291,0.6890751584376629,1.3920257157081104,1.4541009471263405e-14,0.24915164633940712,1.388972062214195,1.8904524740047248,1.3996158589312557,1.500018056980019,3.4463358698415347,2.6975279214111665,0.4423766596311069,8.08418849397257e-15,0.5691262856936716,0.20578125523652563,0.7488079484303682,0.363345030457146,0.4423766596311069,0.6929885573599278,0.05581939107043617,2.61238904235657,1.9194004849966422,0.8339468274849661,0.77812743641453,1.9378434543064167,0.5559578590433426,0.8259277362197314,0.38641302359399193,0.7957017828515146,0.4399235120982558,71362,23908,29432,12091,5931,48036,0.6929885573599278,0.05581939107043617
250642468,1.7644947609392703,0.7963005712652198,0.691138165840363,1.3796303735896078,-1.1367499657613934e-14,0.25124654857143575,1.3789503887413086,1.878443806858092,1.38132290623339,1.4808671471753474,3.4206283763992067,2.6745348919770895,0.4424379393122719,-6.3159732708172885e-15,0.5718162675452788,0.2078699610852278,0.7460934844221171,0.363946306460051,0.4424379393122719,0.6907850363033528,0.05530844811876318,2.597833777683315,1.9070487413799624,0.8227945987160195,0.7674861505972562,1.9385880038421586,0.5556167548759818,0.8273544940901949,0.38486438734966233,0.7963005712652311,0.43989161726892734,71483,23632,30013,11946,5892,48005,0.6907850363033528,0.05530844811876318
1872043059,1.767841579432789,0.7930789761414473,0.6825457242682987,1.382917851550638,2.238567479392212e-14,0.24471786690733954,1.3789188152749952,1.876823881447506,1.3929726628242556,1.4938264409281747,3.412133566594607,2.669187372905225,0.4355712653629073,1.2294559544914936e-14,0.5676608219776006,0.2035273836491272,0.7429461936893821,0.3641334383284734,0.4355712653629073,0.6875557356557026,0.05539045803367642,2.5917009329198817,1.9041451972641792,0.8204326336745628,0.7650421756408863,1.9301127466915833,0.5492154986658255,0.8316817493599322,0.38492372788215107,0.7930789761414249,0.4378278573609592,71860,24150,29835,11938,5937,47454,0.6875557356557026,0.05539045803367642
19311448,1.8143968615762034,0.7999624712404445,0.67832476098685,1.4288086973272305,8.753077900602674e-15,0.243321029868011,1.4218079533664245,1.9209202617859336,1.4464360744616271,1.546178489405317,3.500305135944876,2.7564346739403587,0.43868839589283226,4.800067304890153e-15,0.5646452753789986,0.20254320322236924,0.7438704620045172,0.3621020721566293,0.43868839589283226,0.6891730960814904,0.054697365923023315,2.6524021584095494,1.963229062328059,0.8479029775352394,0.793205611612216,1.92918385722079,0.5483862201842914,0.8324114168522071,0.38558816424897296,0.7999624712404357,0.435003731118839,71921,23955,30208,11721,6037,47381,0.6891730960814904,0.054697365923023315
2128538054,1.6990935366309154,0.7982121796743613,0.6816006570505162,1.3149427504299818,-1.2104908063358858e-15,0.24381806290059022,1.3106481260000213,1.8092958348905521,1.3255855346123513,1.4259941548542692,3.2890355427983367,2.54541221520089,0.4442419411063912,-6.73694036737795e-16,0.5607300943868343,0.2005809765722254,0.7436233275974469,0.3601491178146089,0.4442419411063912,0.6877412933515199,0.05588203424593375,2.49540394021206,1.8076626468605397,0.7936316025862515,0.7377495683403178,1.935758963170487,0.5565461821036409,0.8226665989632053,0.3841507862009337,0.7982121796743625,0.43778259414992604,71079,23657,29570,11902,5950,48086,0.6877412933515199,0.05588203424593375
1240621748,1.8169200626967648,0.8024640970518393,0.665977661587847,1.4304633494268981,-1.3632196379309442e-15,0.23151535946858606,1.4278715553294785,1.9294081732330608,1.4369126197339441,1.537011164112395,3.523726942011807,2.774234457213573,0.44614185719913746,-7.579022454353594e-16,0.551073823380236,0.1915710716323696,0.7494924847982337,0.35950275174786644,0.44614185719913746,0.693841209362982,0.055651275435251564,2.669202711193078,1.9753615018300963,0.8545242308187829,0.7988729553835313,1.9393956918400215,0.5559648822149318,0.8274659274101577,0.38645671326986664,0.8024640970518406,0.43446230211926096,71494,23823,29703,11978,5990,48036,0.693841209362982,0.055651275435251564
