seed,lambda,slot,edge_server_number,edge_avg_wait,edge_avg_delay,edge_L,edge_Lq,edge_server_service,edge_server_utilization,edge_weight_utilization,edge_E_avg_delay,edge_E_avg_response,cloud_avg_wait,cloud_avg_delay,cloud_L,cloud_Lq,cloud_service_time_mean,cloud_avg_busy_servers,cloud_throughput,coord_avg_wait,coord_avg_delay,coord_L,coord_Lq,coord_service_time_mean,coord_utilization,coord_throughput,server_utilization_by_count
275370771,0.644675,3,1,0.7441149839094275,0.24201834944727776,0.47533721207205754,0.15460020290433032,0.5020966344621497,0.3207370091677272,0.47533721207205754,2.2485704830465263,2.7485704830465263,1.4489021634188346,0.649556086514338,0.8259329041979495,0.370273272080938,0.7993460769044964,0.45565963211701155,0.5700404934513145,0.5966678468856584,0.014509201056294599,0.04102382864602604,0.0009975784366980215,0.5821586458293638,0.04002625020932802,0.06875488407855768,"{""1"":0.364601957256844,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
275370771,0.429783,4,1,0.6439919133177916,0.13881341923695387,0.2800225994824044,0.06035928975802363,0.5051784940808377,0.21966330972438075,0.2800225994824044,1.297594693553794,1.797594693553794,1.220469916531979,0.40896142512607686,0.4739168558124731,0.15880253181091836,0.8115084914059022,0.31511432400155476,0.38830687212604914,0.6034333862250192,0.013831090056415453,0.028069481780222266,0.0006433709821193023,0.5896022961686037,0.027426110798102966,0.04651628899060485,"{""1"":0.2780412549502129,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1254814226,1.880303,0,1,0.8391824952217612,0.3461540527387029,0.932034564341042,0.38445456569485037,0.4930284424830583,0.5475799986461917,0.932034564341042,3.44583503798359,3.94583503798359,2648.9597419552756,2648.159273961759,2646.509618620702,2645.7098910103928,0.8004679935162389,0.7997276103090385,0.999075062072191,0.6377911472660606,0.042509532278153454,0.07115886739304825,0.004742822447894135,0.5952816149879071,0.06641604494515412,0.11157079821204176,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1254814226,1.343074,1,1,1.4617488784603316,0.9627222922033466,1.6086142833062398,1.0594493027604217,0.499026586256985,0.5491649805458181,1.6086142833062398,9.631721624333482,10.131721624333482,22.5045859027472,21.70280237662933,22.290264644997244,21.496116862745243,0.8017835261178705,0.7941477822520037,0.9904765518158771,0.6142463540586236,0.02843018430170534,0.06756454317434375,0.003127201980141982,0.5858161697569182,0.06443734119420177,0.10999583917415554,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1254814226,1.074459,2,1,1.0827132238608441,0.5856848771727768,1.1520478144563933,0.6231908577795106,0.4970283466880673,0.5288569566768827,1.1520478144563933,5.805738585290584,6.305738585290584,3.5000562036419507,2.695751234356191,3.348494392090558,2.579017983002744,0.8043049692857595,0.7694764090878138,0.9566973206333983,0.603322319986295,0.021638499171870242,0.06476091690769178,0.002322687227796377,0.5816838208144248,0.06243822967989541,0.10734049572235764,"{""1"":0.5205223188640171,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1254814226,0.644675,3,1,0.7476571004989646,0.24953371443302574,0.4861724668310741,0.16226211377175695,0.4981233860659389,0.32391035305931715,0.4861724668310741,2.4812975616710746,2.9812975616710746,1.4967923204942521,0.694753227988478,0.8754247754688895,0.40633839463932175,0.8020390925057742,0.46908638082956783,0.5848672280599473,0.5903713708636614,0.013033789623011091,0.03860677897984664,0.0008523323793789005,0.5773375812406504,0.03775444660046774,0.06539405683471458,"{""1"":0.2996731544200456,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
1254814226,0.429783,4,1,0.6164205080934639,0.12233461126904106,0.2630526298837291,0.05220533839741364,0.4940858968244229,0.2108472914863155,0.2630526298837291,1.1913568720257643,1.6913568720257643,1.1868033437106011,0.3799806824886763,0.45445324068770154,0.14550300474870578,0.8068226612219249,0.30895023593899573,0.38292211013395894,0.591364640975238,0.007644841177032845,0.02591363840952409,0.0003349974554331951,0.5837197997982052,0.025578640954090896,0.04382006737296483,"{""1"":0.23751630422613798,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
86774034,1.880303,0,1,0.8892485582616573,0.3916460432031777,0.9867128069693529,0.43457159760020564,0.4976025150584795,0.5521412093691472,0.9867128069693529,3.9458085851400257,4.445808585140026,2536.8210080430126,2536.0254145208683,2535.471265062526,2534.6760948444967,0.7955935221442993,0.7951702180292552,0.9994679392136036,0.6110312552254752,0.0350800230388228,0.06729592250546806,0.0038635380624507036,0.5759512321866523,0.06343238444301737,0.11013499216277466,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
86774034,1.343074,1,1,1.4866621023305397,0.9866207994763634,1.6586259613388277,1.1007443247816955,0.5000413028541764,0.5578816365571322,1.6586259613388277,10.070336436034605,10.570336436034605,17.255643344581376,16.457638341775993,17.36548408325109,16.562399382330728,0.7980050028053813,0.8030847009203633,1.006365496578498,0.599518180048491,0.025307355937340754,0.06553070381347481,0.002766236123311427,0.5742108241111502,0.06276446769016338,0.10930561573324511,"{""1"":0.0,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
86774034,1.074459,2,1,1.072288459056844,0.5702885070958416,1.1385139867296274,0.6055100531165508,0.5019999519610024,0.5330039336130766,1.1385139867296274,5.797996310347822,6.297996310347822,3.2673794840432833,2.469552857604328,3.1279491689624743,2.3641685474175036,0.7978266264389553,0.7637806215449707,0.9573265622307611,0.6059794577125449,0.020525299991491962,0.06328507884218536,0.0021435466362578395,0.5854541577210529,0.061141532205927517,0.10443436330510984,"{""1"":0.49043329743116926,""2"":null,""3"":null,""4"":null,""5"":null,""6"":null}"
